Contributor Interest Group,Contribution Amount
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$750
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$376
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$100
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$350
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$300
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$750
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$450
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$121
Republican/Conservative,$2500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$220
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$300
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$750
Republican/Conservative,$200
Republican/Conservative,$2000
Republican/Conservative,$1600
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$600
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$400
Republican/Conservative,$200
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$300
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,-$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2500
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$1500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,-$2000
Republican/Conservative,$4000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$444
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$3000
Republican/Conservative,$250
Republican/Conservative,$4000
Republican/Conservative,$500
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$5000
Republican/Conservative,$385
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$200
Republican/Conservative,$500
Republican/Conservative,$500
Republican/Conservative,$3000
Republican/Conservative,$200
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$1000
Republican/Conservative,$5000
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$1500
Republican/Conservative,$200
Republican/Conservative,$5000
Republican/Conservative,$2000
Republican/Conservative,$2500
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$1600
Republican/Conservative,$1500
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$1000
Republican/Conservative,-$2500
Republican/Conservative,-$1000
Republican/Conservative,$5000
Republican/Conservative,$2000
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$350
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$500
Republican/Conservative,$1000
Republican/Conservative,$1000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$2000
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$250
Republican/Conservative,$500
Republican/Conservative,$250
Republican/Conservative,$500
